date	title	desc
2026-09-23	FDA approves lirafugratinib for previously treated, unresectable, locally advanced or metastatic cholangiocarcinoma	On September 23, 2026, the Food and Drug Administration approved lirafugratinib (Lyrfigtu, Elevar Therapeutics, Inc.), a kinase inhibitor, for the treatment of adults with previously treated unresectable, locally advanced or metastatic cholangiocarcinoma harboring a fibroblast growth factor receptor 2 (FGFR2) gene fusion or other rearrangement.
2026-09-18	FDA approves imlunestrant in combination with abemaciclib for ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer	On September 18, 2026, the Food and Drug Administration approved imlunestrant (Inluriyo) in combination with abemaciclib (Verzenio), for adults with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative, estrogen receptor 1 (ESR1)-mutated advanced or metastatic breast cancer, as detected by an FDA-authorized test, with disease progression following at least one line of endocrine therapy. Inluriyo and Verzenio are manufactured by Eli Lilly and Company.
2026-09-09	FDA grants accelerated approval to sevabertinib for locally advanced or metastatic non-squamous non-small cell lung cancer	On September 9, 2026, the Food and Drug Administration granted accelerated approval to sevabertinib (Hyrnuo, Bayer Healthcare Pharmaceuticals Inc.), a kinase inhibitor, for adult patients with locally advanced or metastatic non-squamous non-small cell lung cancer (NSCLC) whose tumors have HER2 (ERBB2) tyrosine kinase domain (TKD) activating mutations, as detected by an FDA-authorized test.
2026-09-04	FDA grants accelerated approval to camizestrant with a CDK4/6 inhibitor for ESR1-Mutated HR-positive, HER2-negative locally advanced or metastatic breast cancer	On September 4, 2026, the Food and Drug Administration granted accelerated approval to camizestrant (Etcamah, AstraZeneca), an estrogen receptor antagonist, in combination with a CDK4/6 inhibitor (abemaciclib, palbociclib, or ribociclib) for adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer upon detection of estrogen receptor-1 (ESR1) mutation during aromatase inhibitor and CDK4/6 inhibitor therapy, based on an FDA-authorized test.
2026-08-26	FDA approves daraxonrasib for metastatic pancreatic adenocarcinoma	On August 26, 2026, the Food and Drug Administration approved daraxonrasib (RASONQUE, Revolution Medicines, Inc.), an inhibitor of the RAS GTPase family, for adults with metastatic pancreatic adenocarcinoma who have received at least one prior systemic therapy or who are not candidates for multiagent systemic therapy.
2026-08-25	FDA approves zanidatamab-hrii and tislelizumab-jsgr for HER2-positive gastric, gastroesophageal junction, or esophageal adenocarcinoma	On August 25, 2026, the Food and Drug Administration approved zanidatamab-hrii (Ziihera, Jazz Pharmaceuticals) in combination with fluoropyrimidine- and platinum-containing chemotherapy and tislelizumab-jsgr (Tevimbra, BeOne Medicines USA, Inc.), as first-line treatment for adults with HER2-positive (IHC 3+ or IHC 2+/ISH+) unresectable locally advanced or metastatic gastric, gastroesophageal junction, or esophageal adenocarcinoma, as detected by an FDA-approved test, and in combination with fluoropyrimidine-, and platinum-containing chemotherapy, as first-line treatment for adults with HER2-positive (IHC 3+) unresectable locally advanced or metastatic gastric, gastroesophageal junction, or esophageal adenocarcinoma, as detected by an FDA-approved test.: dolutegravir
2026-08-13	FDA grants accelerated approval to iberdomide with daratumumab and hyaluronidase-fihj and dexamethasone for multiple myeloma	On August 13, 2026, the Food and Drug Administration granted accelerated approval to iberdomide (Zenbexus, Bristol-Myers Squibb Company) in combination with daratumumab and hyaluronidase-fihj and dexamethasone for adults with multiple myeloma who have received at least one prior line of therapy including a proteasome inhibitor and an immunomodulatory agent.
2026-08-06	FDA grants accelerated approval to vusolimogene oderparepvec-wtpg in combination with nivolumab for melanoma	On August 6, 2026, the Food and Drug Administration granted accelerated approval to vusolimogene oderparepvec-wtpg (Tudriqev, Replimune, Inc.), a genetically modified oncolytic viral therapy, in combination with nivolumab for the treatment of adult patients with unresectable advanced cutaneous melanoma who experienced disease progression on a programmed death receptor-1 (PD-1)-blocking antibody-based regimen.
2026-07-31	FDA approves lutetium Lu 177 vipivotide tetraxetan with androgen receptor pathway inhibitor therapy for metastatic androgen pathway modulation-naïve or -sensitive prostate cancer	On July 31, 2026, the Food and Drug Administration approved lutetium Lu 177 vipivotide tetraxetan (Pluvicto, Novartis Pharmaceuticals Corporation) in combination with androgen receptor pathway inhibitor (ARPI) therapy for adults with prostate-specific membrane antigen (PSMA)-positive metastatic androgen pathway modulation-naïve or-sensitive (mAPMN/S) prostate cancer (previously referred to as metastatic hormone-sensitive prostate cancer).
2026-07-22	FDA approves zidesamtinib for ROS1 -positive non-small cell lung cancer	On July 22, 2026, the Food and Drug Administration approved zidesamtinib (Jideytro, Nuvalent, Inc.) for adults with locally advanced or metastatic ROS1 -positive non-small cell lung cancer (NSCLC) who received at least one prior ROS1 tyrosine kinase inhibitor (TKI).
2026-07-14	FDA approves gedatolisib with fulvestrant, with or without palbociclib, for HR-positive, HER2-negative locally advanced or metastatic breast cancer	On July 14, 2026, the Food and Drug Administration approved gedatolisib (Revtorpyk, Celcuity Inc.) in combination with fulvestrant, with or without palbociclib, for adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer without a PIK3CA mutation detected following progression on or after treatment with at least one line of endocrine therapy in the metastatic setting.
2026-07-14	FDA grants traditional approval to selpercatinib for locally advanced or metastatic RET fusion-positive solid tumors	On July 14, 2026, the Food and Drug Administration granted traditional approval to selpercatinib (Retevmo, Eli Lilly and Company) for adult and pediatric patients two years of age and older with locally advanced or metastatic solid tumors with a RET gene fusion, as detected by an FDA-approved test, that have progressed on or following prior systemic treatment or who have no satisfactory alternative treatment options.
2026-07-10	FDA approves pembrolizumab or pembrolizumab and berahyaluronidase alfa-pmph each with enfortumab vedotin-ejfv for muscle invasive bladder cancer	On July 10, 2026, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) or pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck) each in combination with enfortumab vedotin-ejfv (Padcev, Astellas Pharma) as neoadjuvant treatment (before surgery) followed by adjuvant treatment after cystectomy (surgery to remove the bladder) for adults with muscle invasive bladder cancer (MIBC). This extends the prior approval for the regimen in this setting from patients who are cisplatin-ineligible to all patients with MIBC who are candidates for cystectomy.
2026-07-09	FDA approves isatuximab-irfc for subcutaneous injection for multiple myeloma indications	On July 9, 2026, the Food and Drug Administration approved isatuximab-irfc (Sarclisa Escena, Sanofi-Aventis U.S. LLC) for subcutaneous injection for multiple myeloma indications.
2026-06-30	FDA approves allogeneic regulatory T cell-based immunotherapy with HSPC and T cells-vldq for use in matched donor hematopoietic stem cell transplantation for adults with hematologic malignancies	On June 30, 2026, the Food and Drug Administration approved allogeneic regulatory T cell-based immunotherapy with hematopoietic stem and progenitor cell (HSPC) and T cells-vldq (Tregzi, Orca Bio) for use in matched donor hematopoietic stem cell transplantation (HSCT) with a myeloablative preparative regimen, for hematopoietic and immunologic reconstitution and to improve chronic graft-versus-host disease (cGHVD)-free survival, in the treatment of adults with hematological malignancies.
2026-06-24	FDA approves sacituzumab govitecan-hziy as monotherapy and in combination with pembrolizumab for first-line treatment of triple-negative breast cancer	On June 24, 2026, the Food and Drug Administration approved sacituzumab govitecan-hziy (Trodelvy, Gilead Sciences, Inc.) for two indications in adults with triple-negative breast cancer (TNBC).
2026-06-24	FDA approves palbociclib with trastuzumab, with or without pertuzumab, and endocrine therapy for the maintenance treatment of HR-positive, HER2-positive metastatic breast cancer	On June 24, 2026, the Food and Drug Administration approved palbociclib (Ibrance, Pfizer Inc.) in combination with trastuzumab, with or without pertuzumab, and endocrine therapy for the maintenance treatment of adults with HR-positive, HER2-positive locally advanced or metastatic breast cancer following induction treatment.
2026-06-12	FDA approves capivasertib with abiraterone and prednisone for PTEN-deficient androgen pathway modulation-naïve or -sensitive prostate cancer	On June 12, 2026, the Food and Drug Administration approved capivasertib (Truqap, AstraZeneca) in combination with abiraterone and prednisone for adults with metastatic androgen pathway modulation-naïve or -sensitive (mAPMN/S) prostate cancer (previously referred to as metastatic hormone-sensitive prostate cancer) that is PTEN-deficient as detected by an FDA-authorized test.
2026-06-12	FDA approves belzutifan with pembrolizumab for adjuvant treatment of renal cell carcinoma	On June 12, 2026, the Food and Drug Administration approved belzutifan (Welireg, Merck & Co., Inc.) in combination with pembrolizumab (Keytruda, Merck & Co., Inc.) or pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck & Co., Inc.) for the adjuvant treatment of adults with renal cell carcinoma with a clear cell component (ccRCC) at intermediate-high or high risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions.
2026-05-28	FDA approves durvalumab in combination with Bacillus Calmette-Guerin for high-risk non-muscle invasive bladder cancer	On May 28, 2026, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca) in combination with Bacillus Calmette-Guerin (BCG) for the treatment of adult patients with BCG-naïve, high-risk non-muscle invasive bladder cancer (NMIBC).
2026-05-27	FDA approves pivekimab sunirine-pvzy for blastic plasmacytoid dendritic cell neoplasm, an ultra-rare hematologic malignancy	On May 27, 2026, the Food and Drug Administration approved pivekimab sunirine-pvzy (Decnupaz, AbbVie, Inc.), a CD123-directed antibody and alkylating agent conjugate, for adults with blastic plasmacytoid dendritic cell neoplasm (BPDCN).
2026-05-22	FDA approves datopotamab deruxtecan-dlnk for unresectable or metastatic triple-negative breast cancer	On May 22, 2026, the Food and Drug Administration approved datopotamab deruxtecan-dlnk (Datroway, Daiichi Sankyo, Inc.) for adult patients with unresectable or metastatic triple-negative breast cancer (TNBC) who are not candidates for PD-1/PD-L1 inhibitor therapy.
2026-05-15	FDA approves two separate indications for fam-trastuzumab deruxtecan-nxki in HER2-positive early-stage breast cancer	On May 15, 2026, the Food and Drug Administration (FDA) approved fam-trastuzumab deruxtecan-nxki (T-DXd, Enhertu, Daiichi Sankyo, Inc.) for two separate indications in adults with HER2-positive early-stage breast cancer. The first indication is for T-DXd followed by a taxane, trastuzumab, and pertuzumab (THP), for the neoadjuvant treatment of adult patients with HER2-positive (IHC 3+ or ISH+) Stage II or III breast cancer, as determined by an FDA-authorized test. The second indication is for T-DXd for the adjuvant treatment of adult patients with HER2-positive (IHC 3+ or ISH+) breast cancer who have residual invasive disease following neoadjuvant treatment with trastuzumab (with or without pertuzumab) and taxane-based treatment.
2026-05-15	FDA approves atezolizumab for adjuvant treatment of muscle invasive bladder cancer in patients with molecular residual disease	On May 15, 2026, the Food and Drug Administration approved atezolizumab (Tecentriq, Genentech, Inc. and atezolizumab and hyaluronidase-tqjs (Tecentriq Hybreza, Genentech, Inc.) as adjuvant treatments for adults with muscle invasive bladder cancer (MIBC) after cystectomy who have circulating tumor DNA molecular residual disease (ctDNA MRD) as determined by an FDA-authorized test.
2026-05-13	FDA approves oral combination of decitabine and cedazuridine tablets with venetoclax for newly diagnosed acute myeloid leukemia	On May 13, 2026, the Food and Drug Administration approved an oral combination of decitabine and cedazuridine tablets (Inqovi, Taiho Oncology, Inc.) with venetoclax for the treatment of newly diagnosed acute myeloid leukemia (AML) in adults 75 years or older, or who have comorbidities that preclude the use of intensive induction chemotherapy.
2026-05-13	FDA grants accelerated approval to sonrotoclax for relapsed or refractory mantle cell lymphoma	On May 13, 2026, the Food and Drug Administration granted accelerated approval to sonrotoclax (Beqalzi, BeOne Medicines USA, Inc.), a BCL-2 inhibitor, for adults with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy, including a Bruton’s tyrosine kinase (BTK) inhibitor.
